Player,Pos,Height,Weight,Birthdate,Country,Experience,College,Salary,Age,Height_cm,College,Player_2
darius morris,PG,4-Jun,190,33241,us,3,Michigan,702756,23,193.04,Michigan,"Morris, Darius"
marcus morris,PF,9-Jun,235,32753,us,3,Kansas,2943221,25,205.74,Kansas,"Morris, Marcus"
markieff morris,PF,10-Jun,245,32753,us,3,Kansas,2989239,25,208.28,Kansas,"Morris, Markieff"
anthony morrow,SG,5-Jun,210,31317,us,6,Georgia Tech,3200000,29,195.58,Georgia Tech,"Morrow, Anthony"
donatas motiejunas,PF,Jul-00,222,33136,lt,2,,1483920,24,213.36,,"Motiejunas, Donatas"
timofey mozgov,C,1-Jul,275,31609,ru,4,,4650000,28,215.9,,"Mozgov, Timofey"
shabazz muhammad,SG,6-Jun,223,33921,us,1,UCLA,1971960,21,198.12,UCLA,"Muhammad, Shabazz"
toure' murry,SG,5-Jun,195,32820,us,1,Wichita State,250000,24,195.58,Wichita State,"Murry, Toure"
mike muscala,PF,11-Jun,240,33420,us,1,Bucknell,816482,23,210.82,Bucknell,"Muscala, Mike"
shabazz napier,PG,1-Jun,180,33433,us,0,UConn,1238640,23,185.42,UConn,"Napier, Shabazz"
gary neal,SG,4-Jun,210,30958,us,4,"La Salle, Towson University",3250000,29,193.04,La Salle,"Neal, Gary"
jameer nelson,PG,Jun-00,190,29991,us,10,Saint Joseph's,2732000,32,182.88,Saint Joseph's,"Nelson, Jameer"
andrew nicholson,PF,9-Jun,250,32850,ca,2,St. Bonaventure,1545840,24,205.74,St. Bonaventure,"Nicholson, Andrew"
joakim noah,C,11-Jun,230,31103,us,7,Florida,12200000,29,210.82,Florida,"Noah, Joakim"
nerles noel,C,11-Jun,220,34434,us,0,Kentucky,3315120,20,210.82,Kentucky,"Noel, Nerlens"
lucas nogueira,C,Jul-00,241,33811,br,0,,1762680,22,213.36,,"Nogueira, Lucas"
steve novak,SF,10-Jun,225,30480,us,8,Marquette,3445946,31,208.28,Marquette,"Novak, Steve"
dirk nowtizski,PF,Jul-00,245,28660,de,16,,7974482,36,213.36,,"Nowitzki, Dirk"
jusuf nurkic,C,Jul-00,275,34569,ba,0,,1762680,20,213.36,,"Nurkic, Jusuf"
johnny o'bryant,PF,9-Jun,257,34121,us,0,LSU,600000,21,205.74,LSU,"O'Bryant, Johnny"
victor oladipo,SG,4-Jun,210,33728,us,1,Indiana,4978200,22,193.04,Indiana,"Oladipo, Victor"
kelly olynyk,C,Jul-00,240,33347,ca,1,Gonzaga,2075760,23,213.36,Gonzaga,"Olynyk, Kelly"
arinze onuaku,C,9-Jun,255,31971,us,1,Syracuse,43226,27,205.74,Syracuse,"Onuaku, Arinze"
kyle oquinn,PF,10-Jun,250,32958,us,2,Norfolk State,915243,24,208.28,Norfolk State,"O'Quinn, Kyle"
zaza pachulia,C,11-Jun,270,30722,ge,11,,5200000,30,210.82,,"Pachulia, Zaza"
kostas papanikolaou,SF,8-Jun,225,33085,gr,0,,4800000,24,203.2,,"Papanikolaou, Kostas"
jannero pargo,PG,1-Jun,175,29150,us,10,Arkansas,1448490,34,185.42,Arkansas,"Pargo, Jannero"
jabari parker,PF,8-Jun,245,34773,us,0,Duke,4930560,19,203.2,Duke,"Parker, Jabari"
tony parker,PG,2-Jun,185,30088,be,13,,12500000,32,187.96,,"Parker, Tony"
chandler parsons,SF,10-Jun,230,32441,us,3,Florida,14700000,25,208.28,Florida,"Parsons, Chandler"
patrick patterson,PF,9-Jun,230,32581,us,4,Kentucky,5831326,25,205.74,Kentucky,"Patterson, Patrick"
chris paul,PG,Jun-00,175,31173,us,9,Wake Forest,20068563,29,182.88,Wake Forest,"Paul, Chris"
adreian payne,PF,10-Jun,237,33288,us,0,Michigan State,1855320,23,208.28,Michigan State,"Payne, Adreian"
elfrid payton,PG,4-Jun,185,34387,us,0,Louisiana,2397840,20,193.04,Louisiana,"Payton, Elfrid"
nikola pekovic,C,11-Jun,307,31415,me,4,,12100000,28,210.82,,"Pekovic, Nikola"
kendrick perkins,C,10-Jun,270,30996,us,11,,434547,29,208.28,,"Perkins, Kendrick"
paul pierce,SF,7-Jun,235,28411,us,16,Kansas,5305000,36,200.66,Kansas,"Pierce, Paul"
mason plumlee,C,11-Jun,235,32937,us,1,Duke,1357080,24,210.82,Duke,"Plumlee, Mason"
miles plumlee,C,11-Jun,249,32387,us,2,Duke,1169880,26,210.82,Duke,"Plumlee, Miles"
quincy pondexter,SG,7-Jun,230,32212,us,4,Washington,3146068,26,200.66,Washington,"Pondexter, Quincy"
otto porter,SF,8-Jun,198,34123,us,1,Georgetown,4470480,21,203.2,Georgetown,"Porter, Otto"
dwight powell,PF,11-Jun,240,33439,ca,0,Stanford,507336,23,210.82,Stanford,"Powell, Dwight"
phil pressey,PG,11-May,175,33286,us,1,Missouri,816482,23,180.34,Missouri,"Pressey, Phil"
a.j. price,PG,2-Jun,181,31692,us,5,UConn,62552,27,187.96,UConn,"Price, A.J."
ronnie price,PG,2-Jun,190,30488,us,9,"Nicholls State University, Utah Valley State College",1316809,31,187.96,Nicholls State University,"Price, Ronnie"
pablo prigioni,PG,3-Jun,185,28262,ar,2,,1662961,37,190.5,,"Prigioni, Pablo"
tayshaun prince,SF,9-Jun,212,29279,us,12,Kentucky,7707865,34,205.74,Kentucky,"Prince, Tayshaun"
miroslav raduljica,C,Jul-00,250,32147,rs,1,,300000,26,213.36,,"Raduljica, Miroslav"
julius randle,PF,9-Jun,250,34667,us,0,Kentucky,2997360,19,205.74,Kentucky,"Randle, Julius"
shavlik randolph,PF,10-Jun,240,30644,us,7,Duke,1227985,30,208.28,Duke,"Randolph, Shavlik"
zach randolph,PF,9-Jun,250,29783,us,13,Michigan State,16500000,33,205.74,Michigan State,"Randolph, Zach"
jj redick,SG,4-Jun,200,30857,us,8,Duke,6583500,30,193.04,Duke,"Redick, JJ"
glen rice,SG,6-Jun,206,33239,us,1,Georgia Tech,400000,23,198.12,Georgia Tech,"Rice Jr., Glen"
jason richardson,SG,6-Jun,220,29606,us,12,Michigan State,6601125,33,198.12,Michigan State,"Richardson, Jason"
luke ridnour,PG,2-Jun,175,29630,us,11,Oregon,2750000,33,187.96,Oregon,"Ridnour, Luke"
austin rivers,PG,4-Jun,200,33817,us,2,Duke,2439840,22,193.04,Duke,"Rivers, Austin"
andre roberson,SG,7-Jun,210,33576,us,1,Colorado,1160880,22,200.66,Colorado,"Roberson, Andre"
brian roberts,PG,1-Jun,173,31384,us,2,Dayton,2732000,28,185.42,Dayton,"Roberts, Brian"
glenn robinson,SF,6-Jun,222,34342,us,0,Michigan,507336,20,198.12,Michigan,"Robinson, Glenn"
nate robinson,PG,9-May,180,30833,us,9,Washington,2106720,30,175.26,Washington,"Robinson, Nate"
thomas robinson,PF,10-Jun,237,33314,us,2,Kansas,3678360,23,208.28,Kansas,"Robinson, Thomas"
rajon rondo,PG,1-Jun,186,31465,us,8,Kentucky,12909091,28,185.42,Kentucky,"Rondo, Rajon"
derrick rose,PG,3-Jun,200,32420,us,5,Memphis,18862875,25,190.5,Memphis,"Rose, Derrick"
terrence ross,SF,7-Jun,206,33274,us,2,Washington,2793960,23,200.66,Washington,"Ross, Terrence"
ricky rubio,PG,4-Jun,190,33167,es,3,,5070686,23,193.04,,"Rubio, Ricky"
damjan rudez,SF,10-Jun,228,31580,hr,0,,1100000,28,208.28,,"Rudez, Damjan"
brandon rush,SG,6-Jun,220,31235,us,6,Kansas,1145685,29,198.12,Kansas,"Rush, Brandon"
robert sacre,C,Jul-00,270,32665,us,2,Gonzaga,915243,25,213.36,Gonzaga,"Sacre, Robert"
john salmons,SF,7-Jun,210,29201,us,12,Miami (FL),1000000,34,200.66,Miami (FL),"Salmons, John"
jakarr sampson,SF,9-Jun,214,34048,us,0,St. John's,507336,21,205.74,St. John's,"Sampson, JaKarr"
larry sanders,C,11-Jun,235,32468,us,4,Virginia Commonwealth,11000000,25,210.82,Virginia Commonwealth,"Sanders, Larry"
dennis schroder,PG,1-Jun,172,34227,de,1,,1690680,21,185.42,,"Schroder, Dennis"
luis scola,PF,9-Jun,240,29341,ar,7,,6541000,34,205.74,,"Scola, Luis"
mike scott,PF,8-Jun,237,32340,us,2,Virginia,3333333,26,203.2,Virginia,"Scott, Mike"
thabo sefolosha,SF,7-Jun,220,30804,ch,8,,4150000,30,200.66,,"Sefolosha, Thabo"
kevin seraphin,C,9-Jun,285,32849,gf,4,,3898692,24,205.74,,"Seraphin, Kevin"
ramon sessions,PG,3-Jun,190,31513,us,7,Nevada,2077000,28,190.5,Nevada,"Sessions, Ramon"
iman shumpert,SG,5-Jun,215,33050,us,3,Georgia Tech,2616975,24,195.58,Georgia Tech,"Shumpert, Iman"
alexey shved,SG,6-Jun,190,32493,ru,2,,3282056,25,198.12,,"Shved, Alexey"
henry sims,C,10-Jun,248,32959,us,2,Georgetown,915243,24,208.28,Georgetown,"Sims, Henry"
kyle singler,SF,8-Jun,228,32267,us,2,Duke,1090000,26,203.2,Duke,"Singler, Kyle"
donald sloan,PG,3-Jun,205,32157,us,3,Texas A&M,948163,26,190.5,Texas A&M,"Sloan, Donald"
marcus smart,PG,4-Jun,220,34399,us,0,Oklahoma State,3283320,20,193.04,Oklahoma State,"Smart, Marcus"
greg smith,PF,10-Jun,250,33246,us,3,Fresno State,948163,23,208.28,Fresno State,"Smith, Greg"
ish smith,PG,Jun-00,175,32329,us,4,Wake Forest,981084,26,182.88,Wake Forest,"Smith, Ish"
j.r. smith,SG,6-Jun,225,31299,us,10,,6516000,29,198.12,,"Smith, J.R."
jason smith,C,Jul-00,240,31473,us,6,Colorado State,3278000,28,213.36,Colorado State,"Smith, Jason"
josh smith,PF,9-Jun,225,31386,us,10,,14000000,28,205.74,,"Smith, Josh"
russ smith,PG,Jun-00,165,33347,us,0,Louisville,816482,23,182.88,Louisville,"Smith, Russ"
tony snell,SF,7-Jun,213,33552,us,1,New Mexico,1472400,22,200.66,New Mexico,"Snell, Tony"
marreese speights,C,10-Jun,255,31993,us,6,Florida,3657500,27,208.28,Florida,"Speights, Marreese"
tiago splitter,C,11-Jun,245,31048,br,4,,9250000,29,210.82,,"Splitter, Tiago"
nik stauskas,SG,6-Jun,205,34249,ca,0,Michigan,2745840,20,198.12,Michigan,"Stauskas, Nik"
lance stephenson,SG,6-Jun,230,33121,us,4,Cincinnati,9000000,24,198.12,Cincinnati,"Stephenson, Lance"
greg stiemsma,C,11-Jun,260,31316,us,3,Wisconsin,981084,29,210.82,Wisconsin,"Stiemsma, Greg"
david stockton,PG,11-May,165,33413,us,0,Gonzaga,29843,23,180.34,Gonzaga,"Stockton, David"
jarnell stokes,PF,9-Jun,263,34341,us,0,Tennessee,725000,20,205.74,Tennessee,"Stokes, Jarnell"
amare stoudemire,PF,10-Jun,245,30271,us,12,,485670,31,208.28,,"Stoudemire, Amar'e"
rodney stuckey,PG,5-Jun,210,31523,us,7,Eastern Washington University,1227985,28,195.58,Eastern Washington University,"Stuckey, Rodney"
jared sullinger,PF,9-Jun,260,33667,us,2,Ohio State,1424520,22,205.74,Ohio State,"Sullinger, Jared"
jeffery taylor,SF,7-Jun,225,32651,se,2,Vanderbilt,915243,25,200.66,Vanderbilt,"Taylor, Jeff"
jeff teague,PG,2-Jun,195,32304,us,5,Wake Forest,8000000,26,187.96,Wake Forest,"Teague, Jeff"
mirza teletovic,PF,9-Jun,242,31308,ba,2,,3368100,29,205.74,,"Teletovic, Mirza"
sebastian telfair,PG,Jun-00,165,31207,us,9,,915243,29,182.88,,"Telfair, Sebastian"
garrett temple,SG,6-Jun,195,31540,us,4,LSU,981084,28,198.12,LSU,"Temple, Garrett"
jason terry,SG,2-Jun,185,28383,us,15,Arizona,5850313,37,187.96,Arizona,"Terry, Jason"
isaiah thomas,PG,9-May,185,32546,us,3,Washington,7238606,25,175.26,Washington,"Thomas, Isaiah"
lance thomas,PF,8-Jun,240,32257,us,3,Duke,403784,26,203.2,Duke,"Thomas, Lance"
malcolm thomas,PF,9-Jun,225,32455,us,3,"Pepperdine, San Diego State",474000,25,205.74,Pepperdine,"Thomas, Malcolm"
matt thomas,PF,,,,,3,"Pepperdine, San Diego State",0,#NUM!,#VALUE!,Pepperdine,"Thomas, Matt"
tyrus thomas,PF,9-Jun,215,31641,us,7,LSU,9388000,28,205.74,LSU,"Thomas, Tyrus"
hollis thompson,SG,8-Jun,206,33331,us,1,Georgetown,816482,23,203.2,Georgetown,"Thompson, Hollis"
jason thompson,PF,11-Jun,250,31614,us,6,Rider University,6037500,28,210.82,Rider University,"Thompson, Jason"
klay thompson,SG,7-Jun,215,32912,us,3,Washington State,3075880,24,200.66,Washington State,"Thompson, Klay"
tristan thompson,PF,10-Jun,238,33310,ca,3,Texas,5138430,23,208.28,Texas,"Thompson, Tristan"
marcus thornton,SG,4-Jun,205,31933,us,5,LSU,8575000,27,193.04,LSU,"Thornton, Marcus"
anthony tolliver,PF,8-Jun,250,31199,us,6,Creighton,3000000,29,203.2,Creighton,"Tolliver, Anthony"
pj tucker,SF,6-Jun,245,31172,us,3,Texas,5700000,29,198.12,Texas,"Tucker, PJ"
ronny turiaf,C,10-Jun,249,30329,mq,9,Gonzaga,1500000,31,208.28,Gonzaga,"Turiaf, Ronny"
hedo turkoglu,SF,10-Jun,220,28933,tr,14,,1448490,35,208.28,,"Turkoglu, Hedo"
evan turner,SG,7-Jun,220,32443,us,4,Ohio State,3278000,25,200.66,Ohio State,"Turner, Evan"
ekpe udoh,PF,10-Jun,245,31917,us,4,"Michigan, Baylor",981084,27,208.28,Michigan,"Udoh, Ekpe"
beno urdih,PG,3-Jun,205,30137,si,10,,2077000,32,190.5,,"Udrih, Beno"
jonas valanciunas,C,Jul-00,265,33730,lt,2,,3678360,22,213.36,,"Valanciunas, Jonas"
anderson varejao,C,10-Jun,273,30222,br,10,,9704595,32,208.28,,"Varejao, Anderson"
greivis vasquez,PG,6-Jun,217,31793,ve,4,Maryland,6400000,27,198.12,Maryland,"Vasquez, Greivis"
charlie villanueva,PF,11-Jun,232,30918,us,9,UConn,1316809,30,210.82,UConn,"Villanueva, Charlie"
noah vonleh,PF,9-Jun,250,34935,us,0,Indiana,2524200,19,205.74,Indiana,"Vonleh, Noah"
nikola vucevic,C,Jul-00,260,33170,ch,3,USC,2751260,23,213.36,USC,"Vucevic, Nikola"
dwayne wade,SG,4-Jun,220,29968,us,11,Marquette,15000000,32,193.04,Marquette,"Wade, Dwyane"
dion waiters,SG,4-Jun,215,33582,us,2,Syracuse,4062000,22,193.04,Syracuse,"Waiters, Dion"
henry walker,SF,6-Jun,220,32059,us,4,Kansas State,115422,26,198.12,Kansas State,"Walker, Henry"
kemba walker,PG,1-Jun,184,33001,us,3,UConn,3272091,24,185.42,UConn,"Walker, Kemba"
john wall,PG,4-Jun,210,33122,us,4,Kentucky,14746000,24,193.04,Kentucky,"Wall, John"
gerald wallace,SF,7-Jun,215,30155,us,13,Alabama,10105855,32,200.66,Alabama,"Wallace, Gerald"
t.j. warren,SF,8-Jun,215,34217,us,0,NC State,1953120,21,203.2,NC State,"Warren, TJ"
cj watson,PG,2-Jun,175,30789,us,7,Tennessee,2106720,30,187.96,Tennessee,"Watson, CJ"
david wear,PF,10-Jun,230,33137,us,0,"UNC, UCLA",29843,24,208.28,UNC,"Wear, David"
travis wear,SF,10-Jun,230,33137,us,0,"UNC, UCLA",507336,24,208.28,UNC,"Wear, Travis"
martell webster,SF,7-Jun,230,31750,us,9,,5381750,27,200.66,,"Webster, Martell"
david west,PF,9-Jun,250,29462,us,11,Xavier,12000000,34,205.74,Xavier,"West, David"
russell westbrook,PG,3-Jun,200,32459,us,6,UCLA,15719062,25,190.5,UCLA,"Westbrook, Russell"
hassan whiteside,C,Jul-00,265,32672,us,2,Marshall,769881,25,213.36,Marshall,"Whiteside, Hassan"
shayne whittington,PF,11-Jun,250,33324,us,0,Western Michigan University,507336,23,210.82,Western Michigan University,"Whittington, Shayne"
andrew wiggins,SF,8-Jun,194,34753,ca,0,Kansas,5510640,19,203.2,Kansas,"Wiggins, Andrew"
c.j. wilcox,SG,5-Jun,195,33237,us,0,Washington,1109760,23,195.58,Washington,"Wilcox, CJ"
deron williams,PG,3-Jun,200,30859,us,9,Illinois,19754465,30,190.5,Illinois,"Williams, Deron"
derrick williams,PF,8-Jun,240,33383,us,3,Arizona,6331404,23,203.2,Arizona,"Williams, Derrick"
elliot williams,SG,5-Jun,190,32679,us,2,"Duke, Memphis",53838,25,195.58,Duke,"Williams, Elliot"
lou williams,SG,1-Jun,175,31712,us,9,,5450000,27,185.42,,"Williams, Lou"
marvin williams,PF,9-Jun,237,31582,us,9,UNC,7000000,28,205.74,UNC,"Williams, Marvin"
mo williams,PG,1-Jun,198,30304,us,11,Alabama,3750000,31,185.42,Alabama,"Williams, Mo"
reggie williams,SF,6-Jun,205,31669,us,5,Virginia Military Institute,125104,28,198.12,Virginia Military Institute,"Williams, Reggie"
shawne williams,SF,9-Jun,225,31459,us,6,Memphis,1227985,28,205.74,Memphis,"Williams, Shawne"
jeff withey,C,Jul-00,231,32939,us,1,Kansas,816482,24,213.36,Kansas,"Withey, Jeff"
nate wolters,PG,4-Jun,190,33373,us,1,South Dakota State University,816482,23,193.04,South Dakota State University,"Wolters, Nate"
brandan wright,PF,10-Jun,210,32055,us,6,UNC,5000000,26,208.28,UNC,"Wright, Brandan"
dorell wright,SF,9-Jun,205,31383,us,10,,3150000,28,205.74,,"Wright, Dorell"
tony wroten,PG,6-Jun,205,34072,us,2,Washington,1210080,21,198.12,Washington,"Wroten, Tony"
james young,SG,6-Jun,215,34927,us,0,Kentucky,1674480,19,198.12,Kentucky,"Young, James"
nick young,SG,7-Jun,210,31199,us,7,USC,4994420,29,200.66,USC,"Young, Nick"
thaddeus young,PF,8-Jun,221,32315,us,7,Georgia Tech,9410870,26,203.2,Georgia Tech,"Young, Thaddeus"
cody zeller,C,Jul-00,240,33882,us,1,Indiana,4030560,21,213.36,Indiana,"Zeller, Cody"
tyler zeller,C,Jul-00,253,32890,us,2,UNC,1703760,24,213.36,UNC,"Zeller, Tyler"
